id_cliente,nome,sexo,idade,estado,tempo_como_cliente,frequencia_compras,ticket_medio,total_gasto,forma_pagamento,ultima_compra,comprou_servico_instal,reclamacoes,avaliacao_media,churn
23,Igor Duarte,Masculino,20,CE,20,3.6,790.88,61796.02,Transferência,227,1,0,3.2,1
24,Stephany Moura,Feminino,46,SC,18,0.8,571.3,9173.92,Boleto,208,0,0,4.8,0
25,Ester da Cunha,Feminino,50,SP,14,1.4,759.17,16215.63,Boleto,33,1,0,3.3,1
26,Cauê Azevedo,Masculino,39,BA,46,2.4,979.95,107325.89,Transferência,264,0,0,4.9,0
27,Dra. Ayla Pastor,Feminino,50,RJ,28,2.7,870.96,55185.07,Boleto,192,0,0,5.0,0
28,Nina Araújo,Feminino,47,RS,29,1.3,889.32,38510.58,Transferência,37,1,0,3.0,1
29,Esther Brito,Feminino,48,CE,35,3.9,121.58,14660.92,Boleto,323,1,0,3.8,0
30,Ester Farias,Feminino,20,MG,40,0.5,248.47,5479.69,Boleto,151,1,0,3.6,0
31,Sophia Campos,Feminino,43,GO,17,3.4,179.79,11694.45,Transferência,26,0,0,2.9,0
32,Melina Freitas,Feminino,24,BA,57,2.6,234.56,25812.87,Boleto,142,1,1,4.5,0
33,Ravi Lucca da Paz,Masculino,49,SC,23,2.8,361.75,18474.86,Transferência,170,1,0,3.9,0
34,Benjamim Caldeira,Masculino,54,SP,33,3.3,307.97,42900.08,Cartão de crédito,103,1,1,4.6,0
35,Gustavo Henrique Novaes,Masculino,52,MG,55,0.7,176.11,8690.38,Transferência,58,0,0,3.3,0
36,Dr. Mathias Fernandes,Masculino,40,PE,9,2.8,105.28,3314.01,Transferência,239,1,0,2.8,0
37,Yasmin Peixoto,Feminino,42,SC,40,3.8,656.36,100766.16,Pix,349,0,0,3.6,0
38,Mathias Garcia,Masculino,54,RJ,22,0.3,160.27,769.64,Pix,94,1,1,5.0,0
39,Larissa Pacheco,Feminino,43,RJ,48,3.3,378.99,58759.59,Pix,246,0,1,3.9,0
40,Cecília Fernandes,Feminino,36,MG,58,2.1,562.41,76062.62,Transferência,16,1,3,4.3,0
41,Sr. Arthur Rios,Masculino,29,PR,50,2.4,172.08,24505.35,Boleto,65,0,0,3.3,1
42,Luiz Fernando da Costa,Masculino,46,PR,13,1.0,408.4,3840.56,Boleto,242,0,0,5.0,0
43,Benjamin Martins,Masculino,46,BA,26,2.8,373.59,23292.27,Boleto,114,0,1,5.0,0
44,Paulo Sales,Masculino,53,GO,10,1.8,590.09,11105.49,Pix,99,1,0,4.2,0
45,Dra. Maya Lima,Feminino,49,SP,24,3.5,583.77,41345.67,Cartão de crédito,355,0,0,5.0,0
46,Evelyn Sales,Feminino,37,PR,48,1.7,332.75,20635.58,Boleto,100,1,2,4.8,0
47,Theo Azevedo,Masculino,48,RS,52,2.4,650.25,78640.98,Cartão de crédito,53,0,1,2.3,1
48,Gabriel Alves,Masculino,56,CE,14,2.3,469.45,18632.68,Cartão de crédito,235,0,0,2.2,1
49,João Pedro Ferreira,Masculino,27,MG,58,2.5,146.07,15894.94,Transferência,283,1,0,3.9,0
50,Felipe Pires,Masculino,55,PR,19,2.4,869.98,48724.66,Transferência,145,0,1,4.3,0
51,João Gabriel Moura,Masculino,48,SC,19,3.2,580.48,33688.52,Boleto,220,1,0,4.0,0
52,Caroline Fernandes,Feminino,58,PE,39,3.0,604.2,90294.37,Pix,191,1,0,4.2,0
53,Maya Sousa,Feminino,55,SC,53,3.9,61.55,16309.17,Transferência,229,1,0,3.2,1
54,Lucas Ribeiro,Masculino,35,RS,47,2.6,710.96,84509.65,Boleto,54,1,0,3.0,1
55,Benício Andrade,Masculino,28,BA,12,3.8,104.97,4483.7,Cartão de crédito,122,1,0,2.8,1
56,Sr. Théo Pinto,Masculino,45,GO,28,1.6,296.95,12930.13,Boleto,145,0,0,3.7,0
57,Daniel Peixoto,Masculino,45,RJ,48,0.8,915.38,41953.02,Cartão de crédito,312,1,1,2.1,1
58,Sr. Rodrigo Pereira,Masculino,50,RJ,54,3.3,987.91,139120.03,Cartão de crédito,341,1,0,5.0,0
59,Ana Liz da Cruz,Feminino,44,RJ,49,3.4,495.26,78293.35,Boleto,6,1,3,2.9,1
60,Eduarda Nogueira,Feminino,54,CE,10,3.4,284.98,9401.8,Boleto,1,0,0,3.0,1
61,João Miguel Peixoto,Masculino,18,GO,49,3.1,94.55,12368.73,Transferência,118,0,0,4.2,0
62,Isaac da Costa,Masculino,22,CE,30,3.5,433.31,35506.7,Transferência,303,0,1,2.7,1
63,Matteo Fogaça,Masculino,56,RJ,38,2.5,981.44,99283.46,Cartão de crédito,308,0,0,3.6,1
64,Anna Liz Costa,Feminino,47,BA,55,2.2,712.76,101585.3,Transferência,138,1,1,4.4,1
65,Srta. Olívia Aragão,Feminino,22,CE,34,2.6,380.04,27732.39,Cartão de crédito,111,0,0,2.9,0
66,Sr. Matheus da Paz,Masculino,28,SP,54,2.9,221.06,38699.49,Transferência,281,0,1,4.8,0
67,Sra. Vitória Teixeira,Feminino,36,RJ,21,0.8,314.66,4261.84,Boleto,34,0,0,2.0,1
68,Cauã Duarte,Masculino,26,RS,26,3.2,646.51,40291.42,Transferência,350,0,1,4.1,0
69,Sr. Danilo Albuquerque,Masculino,18,PE,8,3.0,225.29,4464.04,Boleto,28,0,0,4.0,0
70,Anna Liz Farias,Feminino,43,CE,14,0.8,176.46,2198.29,Boleto,238,0,0,1.4,1
71,Dr. Gustavo Carvalho,Masculino,55,CE,35,1.7,149.63,10171.15,Cartão de crédito,273,0,0,4.4,0
72,Emanuel Sá,Masculino,42,SC,17,1.5,500.27,11647.83,Cartão de crédito,233,0,0,3.3,0
73,Antônio Martins,Masculino,39,RS,34,2.3,607.21,49320.26,Boleto,180,1,0,3.1,0
74,Camila Campos,Feminino,23,CE,37,3.7,57.16,6535.61,Transferência,70,0,0,3.4,0
75,André Pereira,Masculino,47,PE,31,0.4,850.2,7706.36,Cartão de crédito,335,1,1,3.6,1
76,Caio Silva,Masculino,19,PE,15,2.2,502.79,19962.74,Cartão de crédito,133,1,1,3.1,1
77,Maya Rezende,Feminino,37,PR,49,2.2,721.87,90320.36,Transferência,356,0,0,4.2,0
78,Melina Nascimento,Feminino,27,PE,5,0.4,990.46,1769.78,Transferência,130,1,0,3.6,0
79,Dr. Erick Cavalcanti,Masculino,34,RS,9,2.5,498.0,10612.31,Pix,318,1,1,4.6,0
80,João Vitor da Conceição,Masculino,26,SP,34,0.9,113.17,3964.0,Cartão de crédito,60,1,1,2.9,1
81,Maria Isis Camargo,Feminino,47,SP,35,0.8,823.85,25354.24,Cartão de crédito,237,1,0,1.5,1
82,Bianca Freitas,Feminino,56,SC,40,1.6,489.55,27597.36,Boleto,23,0,0,3.3,1
83,João Lucas Sampaio,Masculino,50,SC,47,1.7,566.38,56290.4,Cartão de crédito,134,0,0,3.6,0
84,Luigi Macedo,Masculino,32,RJ,47,2.6,556.79,84119.95,Cartão de crédito,157,1,1,4.4,0
85,Vicente Barbosa,Masculino,50,PE,4,2.4,774.34,9114.11,Cartão de crédito,159,0,1,3.7,1
86,Valentim Gomes,Masculino,46,GO,8,0.8,267.79,1942.4,Cartão de crédito,130,0,0,3.8,0
87,Benjamin Gomes,Masculino,53,PE,26,1.2,378.41,9550.88,Pix,200,0,0,4.3,0
88,Camila Alves,Feminino,29,RS,26,2.4,530.59,35322.89,Pix,111,1,2,3.6,1
89,Vitor Hugo Sousa,Masculino,54,PR,8,2.7,782.68,15632.22,Transferência,182,0,2,3.8,0
90,Léo da Mata,Masculino,38,PR,47,0.4,368.44,8185.33,Transferência,117,1,0,3.9,0
91,Zoe Silva,Feminino,42,RJ,26,3.7,379.03,33114.39,Cartão de crédito,364,0,0,4.0,0
92,Larissa Borges,Feminino,24,GO,52,1.8,919.1,78924.99,Cartão de crédito,63,0,0,5.0,0
93,Sr. Mathias Martins,Masculino,38,SC,49,0.9,963.02,33516.58,Boleto,189,1,0,3.6,0
94,Dra. Juliana Duarte,Feminino,30,MG,30,3.0,249.41,27807.95,Pix,32,1,0,4.1,0
95,Lucas Aragão,Masculino,47,RS,16,2.3,112.42,4820.98,Pix,113,1,0,5.0,0
96,Eloá Nunes,Feminino,21,MG,1,1.5,121.73,210.34,Transferência,266,1,1,1.1,1
97,Lavínia Vieira,Feminino,45,GO,32,2.9,675.98,44931.52,Cartão de crédito,255,0,0,2.5,1
98,Allana Gomes,Feminino,54,RJ,3,3.6,578.89,7080.33,Boleto,291,1,1,3.7,0
99,Maya Pires,Feminino,33,RJ,4,3.8,184.03,2640.15,Cartão de crédito,330,0,0,2.6,1
100,Dr. Josué Siqueira,Masculino,36,PR,36,2.6,718.75,83849.84,Pix,197,1,0,2.8,1
101,Isaac Correia,Masculino,20,BA,23,0.3,839.12,5252.13,Boleto,53,1,0,2.6,1
102,Yasmin Dias,Feminino,41,SC,17,3.5,513.06,37753.78,Transferência,128,1,0,3.9,1
103,Zoe Montenegro,Feminino,31,SP,9,2.3,651.8,11532.27,Cartão de crédito,4,1,0,4.3,0
104,Stephany Viana,Feminino,40,PR,37,0.3,918.58,7857.74,Cartão de crédito,356,0,0,4.1,0
105,Nathan Novaes,Masculino,42,BA,38,3.4,246.1,22467.06,Boleto,268,0,0,4.4,0
106,Luísa Garcia,Feminino,34,MG,26,1.7,782.37,32963.12,Transferência,130,1,1,4.9,0
107,Eloah Vargas,Feminino,43,SC,29,1.7,324.26,14601.69,Cartão de crédito,227,1,0,3.5,0
108,Enrico da Mota,Masculino,39,RJ,5,2.0,306.42,3137.45,Boleto,227,1,0,4.9,0
109,Isaac Castro,Masculino,51,BA,9,3.1,151.27,3144.57,Boleto,104,1,0,4.2,0
110,Lavínia Rezende,Feminino,54,MG,44,2.8,308.54,40070.04,Cartão de crédito,275,0,0,5.0,0
111,Sophia Pinto,Feminino,34,BA,10,2.8,545.24,11480.93,Cartão de crédito,198,1,0,3.9,1
112,Srta. Aylla Cassiano,Feminino,32,RS,59,4.0,946.86,161707.44,Boleto,266,1,1,4.7,0
113,Dr. Vitor Gabriel Souza,Masculino,24,BA,14,0.7,744.47,5950.16,Transferência,82,0,1,4.1,0
114,Anthony Gabriel Pastor,Masculino,59,RS,39,0.3,616.46,6044.18,Boleto,188,0,0,3.5,0
115,Benjamin Casa Grande,Masculino,57,PE,26,3.0,112.09,7774.07,Cartão de crédito,210,0,1,5.0,0
116,José Miguel Peixoto,Masculino,52,BA,42,4.0,50.23,6846.13,Transferência,274,1,1,4.3,0
117,Sr. João Lucas Dias,Masculino,46,PR,49,1.7,505.88,45363.64,Boleto,359,1,0,3.9,0
118,Diego Novais,Masculino,20,PE,45,1.5,322.88,19130.79,Cartão de crédito,293,0,0,5.0,0
119,Maria Fernanda Câmara,Feminino,32,RS,9,0.6,422.05,1765.51,Boleto,295,1,1,3.4,1
120,Bianca Pacheco,Feminino,51,BA,25,3.0,111.74,7885.62,Pix,349,0,0,1.9,1
121,Asafe Teixeira,Masculino,27,RS,43,0.9,259.46,8152.0,Cartão de crédito,261,1,4,2.6,1
122,Davi Miguel Novaes,Masculino,35,PE,17,0.8,825.04,9365.39,Pix,120,0,0,5.0,0
123,Heloísa Ferreira,Feminino,31,RJ,37,0.5,883.59,14047.46,Pix,261,0,0,4.6,0
124,Maria Luísa Sousa,Feminino,32,SC,38,1.2,737.25,33535.41,Transferência,37,1,0,5.0,0
125,Ana Moraes,Feminino,30,SP,17,0.4,888.76,6101.87,Cartão de crédito,40,1,0,3.1,1
126,Zoe Machado,Feminino,50,MG,6,2.2,874.75,9782.03,Pix,59,0,0,3.6,1
127,Cauê Correia,Masculino,42,RJ,53,2.8,637.68,108980.72,Transferência,363,0,1,4.1,0
128,Sra. Julia Abreu,Feminino,31,BA,13,2.1,56.07,1335.12,Transferência,46,0,1,3.1,1
129,Raul Silveira,Masculino,41,PE,45,3.2,151.63,25254.4,Boleto,319,1,0,4.6,0
130,Maria Vitória Costa,Feminino,46,SP,22,3.8,703.49,43562.01,Transferência,219,1,0,3.0,1
131,Sr. Valentim Leão,Masculino,27,SC,54,1.5,639.87,37703.1,Boleto,7,0,0,4.5,0
132,Yasmin Aragão,Feminino,32,PE,32,3.1,699.13,67102.59,Cartão de crédito,226,0,1,3.8,0
133,Ana Sophia Costa,Feminino,32,GO,55,3.3,333.46,72867.76,Pix,27,0,1,2.5,1
134,Henry Gabriel da Cruz,Masculino,38,PR,47,1.8,656.6,52135.28,Pix,257,1,1,4.7,0
135,Luana da Rosa,Feminino,42,BA,24,1.6,871.14,32914.07,Transferência,79,0,1,4.4,0
136,Nina Rios,Feminino,41,SC,58,2.5,806.71,115676.12,Boleto,206,0,0,4.5,0
137,Joaquim Vargas,Masculino,53,PE,9,1.0,517.01,3436.42,Transferência,344,1,0,3.1,0
138,Thomas Lopes,Masculino,25,GO,21,0.5,422.87,4386.69,Pix,95,1,0,4.6,0
139,Alice Vargas,Feminino,50,SC,38,3.6,738.07,116062.38,Cartão de crédito,310,1,0,4.0,0
140,Lunna Cunha,Feminino,57,PR,32,3.8,118.8,14742.88,Boleto,233,0,0,4.2,0
141,Isabel Cavalcante,Feminino,43,GO,22,1.4,978.59,24730.81,Pix,106,0,0,3.6,1
142,Maria Flor Fonseca,Feminino,20,CE,59,0.3,939.4,12157.65,Transferência,41,1,2,3.4,1
143,Otávio Viana,Masculino,24,SC,11,3.6,570.21,26879.13,Transferência,297,1,0,4.5,1
144,Bernardo Pastor,Masculino,29,RJ,23,2.7,505.31,33558.92,Pix,147,0,0,3.7,0
145,Luara Cunha,Feminino,46,RJ,55,1.8,91.48,7218.08,Boleto,59,0,0,3.4,1
146,Bianca Moura,Feminino,46,RS,54,0.3,294.8,4668.66,Boleto,350,0,0,2.8,0
147,Luiz Gustavo Pereira,Masculino,37,SP,37,1.5,402.49,28874.12,Cartão de crédito,117,1,0,1.9,1
148,Luiz Fernando Novaes,Masculino,51,CE,36,1.8,312.99,21405.57,Cartão de crédito,246,0,0,4.4,1
149,Nina Costa,Feminino,57,PE,21,3.0,174.99,12451.97,Boleto,41,1,0,4.4,0
150,Yasmin da Costa,Feminino,31,CE,56,2.4,679.49,69146.19,Transferência,145,0,0,4.0,0
151,Felipe da Cunha,Masculino,52,MG,37,0.2,608.99,4773.44,Cartão de crédito,287,0,1,3.2,0
152,Guilherme Lima,Masculino,46,PE,10,2.7,188.47,4934.3,Boleto,264,0,1,3.8,0
153,Nicolas da Mata,Masculino,45,SC,57,2.5,388.9,56532.55,Transferência,312,1,1,4.7,0
154,Dr. Davi Luiz Vargas,Masculino,37,SC,50,3.9,166.82,27282.13,Boleto,282,0,0,4.9,0
155,Ian Cassiano,Masculino,54,CE,53,0.5,148.14,4125.15,Boleto,242,1,0,3.6,0
156,Srta. Letícia Nascimento,Feminino,42,SC,50,3.9,601.11,99931.1,Pix,178,0,0,5.0,0
157,Isabel Mendes,Feminino,33,GO,50,1.0,689.76,44211.8,Transferência,352,1,1,4.4,0
158,Srta. Valentina Barros,Feminino,43,MG,43,2.8,522.32,67333.99,Transferência,136,0,0,3.7,0
159,Heloísa da Mata,Feminino,25,PR,25,2.8,692.69,40216.44,Boleto,69,0,0,3.4,0
160,Ana Lívia Peixoto,Feminino,23,SC,9,3.5,993.67,36041.29,Transferência,245,0,0,5.0,0
161,Calebe Borges,Masculino,51,PR,38,1.4,684.21,43123.32,Transferência,339,0,1,4.7,0
162,Dr. Alexandre Viana,Masculino,42,PR,21,1.4,398.14,10976.12,Boleto,316,0,0,4.6,0
163,Maria Sophia Martins,Feminino,52,BA,44,0.3,607.71,6425.97,Pix,265,0,0,5.0,0
164,Benjamim Caldeira,Masculino,19,MG,6,3.7,823.08,13984.78,Boleto,133,1,0,3.5,1
165,Ryan Gonçalves,Masculino,53,PE,15,1.7,571.94,16744.8,Boleto,21,0,0,4.3,0
166,Luiz Gustavo da Costa,Masculino,32,RJ,25,2.7,411.07,22705.35,Transferência,141,1,0,4.3,1
167,Dra. Alícia Vasconcelos,Feminino,21,BA,48,2.2,686.59,91192.77,Transferência,106,1,0,5.0,0
168,Ana Lívia Garcia,Feminino,30,SP,4,3.3,546.36,5581.57,Boleto,108,1,1,4.9,0
169,Olívia Santos,Feminino,59,PE,42,3.7,453.3,52988.74,Cartão de crédito,173,1,0,3.9,0
170,Brenda Porto,Feminino,39,CE,54,2.2,613.86,85779.61,Cartão de crédito,271,1,0,5.0,0
171,Luiza da Mata,Feminino,59,PR,8,3.1,578.81,12249.93,Transferência,100,1,0,4.9,0
172,Gabrielly Camargo,Feminino,36,SC,36,0.8,452.75,10324.31,Boleto,49,0,1,2.4,1
173,Maria Laura Carvalho,Feminino,39,RS,48,1.4,268.73,14875.13,Pix,77,0,0,3.3,0
174,Bárbara da Luz,Feminino,52,CE,7,2.8,434.1,8141.82,Cartão de crédito,167,0,0,4.7,0
175,Stephany Fogaça,Feminino,36,BA,4,3.0,599.47,6218.88,Transferência,196,0,0,2.2,1
176,Dr. Vinícius Andrade,Masculino,22,CE,44,1.1,563.01,33463.91,Boleto,50,0,0,3.7,0
177,Dr. Otto Barbosa,Masculino,20,PE,22,2.7,994.43,64804.96,Cartão de crédito,286,1,0,5.0,0
178,Brayan Correia,Masculino,53,PE,5,0.9,705.5,2605.07,Boleto,208,1,0,4.5,0
179,Fernanda Cavalcanti,Feminino,33,MG,12,1.5,681.67,14445.17,Cartão de crédito,5,1,1,3.4,0
180,Evelyn Andrade,Feminino,38,PE,20,2.6,134.67,8075.41,Pix,161,0,1,2.8,1
181,Vinícius da Cunha,Masculino,31,CE,36,1.4,299.96,13849.31,Pix,180,1,0,1.7,1
182,Ana Cecília Silveira,Feminino,23,PE,35,3.2,595.86,69402.12,Pix,244,1,0,4.6,0
183,Maria Gomes,Feminino,55,PR,18,2.6,690.59,32949.48,Cartão de crédito,7,1,1,3.7,0
184,Hellena Silveira,Feminino,44,SP,2,1.0,959.46,2003.02,Cartão de crédito,266,0,0,4.5,0
185,Isabella Garcia,Feminino,50,RS,36,2.5,182.24,20320.88,Cartão de crédito,25,0,0,3.8,0
186,Caleb Machado,Masculino,51,SP,4,0.7,964.96,2782.18,Boleto,288,1,0,4.9,0
187,Samuel Machado,Masculino,31,SP,20,1.9,150.38,6197.29,Boleto,60,0,0,4.6,0
188,Sr. Luiz Miguel Cirino,Masculino,36,MG,34,1.9,105.26,8818.79,Transferência,253,0,0,3.3,0
189,Rhavi Vieira,Masculino,36,GO,9,0.7,165.32,918.58,Boleto,252,0,0,3.2,1
190,Ana Laura Pimenta,Feminino,34,PR,37,2.5,340.94,33881.33,Pix,124,1,0,2.6,1
191,Sr. Thales Freitas,Masculino,52,GO,7,2.2,507.55,6300.95,Cartão de crédito,183,1,0,4.5,0
192,Rafael Sampaio,Masculino,55,PR,15,2.4,696.93,20418.24,Cartão de crédito,65,0,0,4.1,0
193,Benjamin Fonseca,Masculino,38,PR,53,3.2,961.6,161898.85,Transferência,191,0,1,4.3,0
194,Sra. Eloá Carvalho,Feminino,21,RS,34,1.4,750.49,35209.3,Cartão de crédito,233,0,0,3.5,0
195,Anthony Duarte,Masculino,38,RJ,42,3.6,957.57,169708.1,Pix,60,1,0,5.0,0
196,Sr. Luiz Fernando Andrade,Masculino,57,GO,21,3.3,520.68,33622.59,Cartão de crédito,214,1,0,2.2,1
197,Ágatha Silveira,Feminino,40,SC,24,3.6,150.41,16802.63,Transferência,200,0,1,2.6,1
198,Catarina Oliveira,Feminino,52,RJ,24,0.3,533.15,3579.79,Pix,228,0,2,2.9,1
199,Sr. Renan Porto,Masculino,22,PE,5,2.7,776.15,9000.92,Transferência,49,1,0,4.6,0
200,Benício Leão,Masculino,58,PE,25,2.2,89.85,6330.84,Pix,149,1,0,3.9,1
201,Allana Rios,Feminino,30,MG,53,3.7,544.73,114288.36,Transferência,153,1,0,3.2,1
202,Theo Macedo,Masculino,42,SC,50,3.8,278.66,40921.54,Pix,288,0,1,3.6,0
203,Ester Fonseca,Feminino,49,CE,30,3.5,854.19,112234.05,Transferência,149,1,1,4.8,0
204,Eloá Câmara,Feminino,49,BA,11,1.4,765.53,10157.53,Boleto,348,0,0,2.4,1
205,Fernando da Rosa,Masculino,38,PR,15,0.5,966.87,7201.03,Transferência,278,0,1,3.9,0
206,Dr. Otto Rodrigues,Masculino,36,CE,23,2.8,879.66,61282.66,Transferência,128,0,0,3.5,0
207,Maria Alice Lima,Feminino,33,SP,8,1.1,740.14,8435.2,Transferência,362,1,0,4.1,0
208,Alana Aragão,Feminino,56,MG,27,0.9,387.62,11023.02,Transferência,86,1,1,3.6,0
209,Nathan Sampaio,Masculino,31,BA,57,3.8,399.54,77553.92,Pix,312,0,1,2.7,1
210,Catarina Cavalcanti,Feminino,37,PR,10,3.6,613.39,20644.84,Pix,310,1,0,3.6,0
211,Lucas Gabriel da Cruz,Masculino,21,SC,57,1.7,432.21,51285.87,Boleto,229,1,0,5.0,0
212,José Pedro da Rosa,Masculino,41,RS,34,2.5,622.04,37738.9,Transferência,305,0,0,3.1,1
213,Helena Souza,Feminino,29,SC,30,3.9,249.35,34865.16,Boleto,350,0,0,2.6,0
214,Milena Souza,Feminino,45,CE,59,3.1,746.94,120175.87,Transferência,161,0,0,4.5,0
215,Nicolas Caldeira,Masculino,44,RJ,15,1.8,847.81,21295.37,Pix,61,1,0,5.0,0
216,Vinicius da Luz,Masculino,47,PE,54,1.2,542.17,30889.84,Boleto,245,0,0,5.0,0
217,Lara Ferreira,Feminino,22,GO,29,2.0,506.86,28254.54,Pix,90,1,0,4.3,0
218,Ana Laura Mendes,Feminino,52,SC,1,3.2,56.68,133.2,Pix,174,1,0,3.2,1
219,Sophie Novais,Feminino,37,SC,24,2.0,62.73,2618.54,Pix,270,1,1,3.5,0
220,Sra. Luiza Ferreira,Feminino,42,CE,13,1.2,198.56,3753.76,Pix,107,1,0,3.5,0
221,Milena da Paz,Feminino,38,PR,4,1.4,783.26,3297.83,Boleto,203,1,0,4.8,0
222,João Lucas Camargo,Masculino,38,RS,42,3.3,798.33,118909.03,Pix,165,1,1,2.4,1
223,Lorenzo Rocha,Masculino,54,SC,24,1.5,343.26,15671.87,Boleto,86,0,0,2.4,1
224,Luan da Mata,Masculino,51,RS,28,2.9,114.28,10436.7,Transferência,17,1,0,2.9,1
225,Dra. Ana Laura da Cunha,Feminino,18,GO,10,0.8,948.41,9180.5,Pix,125,0,0,3.9,0
226,Davi Lucas Macedo,Masculino,57,RS,38,3.3,486.28,44586.63,Pix,319,0,0,5.0,0
227,Sr. Rhavi Câmara,Masculino,37,BA,26,1.5,768.91,30336.29,Boleto,214,1,1,4.4,0
228,Maya Câmara,Feminino,45,SP,26,2.3,574.89,26006.97,Boleto,44,0,0,4.0,0
229,Sra. Ana Julia Farias,Feminino,56,SP,52,1.9,427.51,31933.81,Cartão de crédito,268,1,0,2.0,1
230,Ana Laura Vargas,Feminino,58,MG,36,1.3,346.73,17616.07,Transferência,238,1,0,4.0,0
231,Luan Ferreira,Masculino,23,SP,12,0.8,632.8,5575.89,Pix,8,0,0,5.0,0
232,Dra. Luana Borges,Feminino,54,CE,4,3.2,969.37,15064.78,Transferência,137,1,0,3.1,1
233,Sra. Manuella da Mata,Feminino,18,MG,45,3.9,684.52,129840.36,Cartão de crédito,283,0,0,3.4,0
234,Srta. Alícia Peixoto,Feminino,42,CE,20,3.6,125.44,10286.16,Cartão de crédito,189,1,1,4.0,0
235,Luiz Miguel Sales,Masculino,36,PE,44,4.0,906.23,174010.78,Transferência,131,1,0,3.4,0
236,Felipe Pacheco,Masculino,38,GO,28,3.3,145.61,11354.47,Cartão de crédito,180,1,0,3.6,0
237,Enrico Rios,Masculino,28,MG,57,1.9,598.39,74062.57,Pix,347,0,0,4.5,0
238,Dante Marques,Masculino,51,RS,2,1.4,53.63,166.53,Cartão de crédito,201,1,0,3.3,1
239,Kamilly Correia,Feminino,40,GO,3,2.8,537.02,3984.03,Boleto,142,1,1,3.7,1
240,Isadora Freitas,Feminino,30,CE,15,1.2,911.84,18094.47,Transferência,91,1,0,2.1,1
241,Sofia Barros,Feminino,53,GO,53,2.3,411.38,64493.35,Transferência,281,1,0,4.1,0
242,Isabelly Pereira,Feminino,40,GO,22,3.5,327.61,31443.22,Cartão de crédito,275,0,2,2.3,1
243,Henry Gabriel Almeida,Masculino,36,RS,47,1.9,257.52,17756.74,Boleto,265,1,0,4.1,0
244,Isabelly Borges,Feminino,31,RJ,11,0.5,265.03,1659.04,Boleto,41,1,0,4.0,0
245,Pedro Henrique Pires,Masculino,19,MG,41,1.5,373.39,29701.36,Cartão de crédito,62,0,0,3.4,1
246,Benicio Leão,Masculino,28,SP,46,3.5,545.37,64815.98,Transferência,276,0,0,5.0,0
247,Laís Leão,Feminino,26,GO,9,2.7,837.82,24988.41,Transferência,332,1,0,4.7,0
248,Larissa Novaes,Feminino,58,SP,19,3.6,471.21,34301.71,Boleto,307,1,0,4.9,1
249,Srta. Kamilly Peixoto,Feminino,21,PR,55,2.1,149.01,16018.07,Transferência,194,1,0,4.5,1
250,Thales Cunha,Masculino,18,RS,8,2.6,117.39,2081.89,Pix,61,1,0,2.9,1
